#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
75,"Heaven Knows","The Pretty Reckless",84,10B,82,2017-02-10,03:44,64,"","Going To Hell (Deluxe Edition)",2014-03-18,54,8,0,58,0,20,-4,D Major,4,04w73SmPfQkkmEpKbcrHOL,USRZR1353301,no
76,"Bad Girlfriend","Theory of a Deadman",135,8B,96,2017-02-10,03:25,71,"post-grunge, alternative metal","Scars & Souvenirs (Special Edition)",2008-04-01,50,0,0,68,0,10,-3,C Major,4,5m7on0zpnmeAXy72ANrmfU,NLA320786463,yes
77,"I Don't Care Anymore","HELLYEAH",140,4A,97,2017-02-10,04:41,0,"groove metal, metal","UNDEN!ABLE",2016-06-03,52,0,0,38,0,10,-4,F Minor,4,5PPkKbFuod4Qutcn0jMNNp,USDPK1600033,no
78,"The Otherside","Red Sun Rising",100,1B,73,2017-02-10,03:36,55,"post-grunge","Polyester Zeal",2015-08-07,54,0,90,27,0,10,-6,B Major,4,2HLaosNtdbGMZ1pmOBwFeS,USRZR1564901,no
79,"Seal The Deal","Volbeat",106,9A,97,2017-02-10,04:09,1,"rock, metal","Seal The Deal & Let's Boogie",2016-06-03,53,0,1,43,0,10,-4,E Minor,4,7HyEcQge7Nj46xNFpKrsi5,DKNE11600110,no
80,"Ready for War (Pray for Peace)","Adelitas Way",131,8B,90,2017-04-03,03:31,0,"post-grunge","Ready for War (Pray for Peace)",2016-09-30,59,0,0,34,0,10,-4,C Major,4,2vTO5KbdRsz2ix7UW0wsSR,QMF921650118,no
81,"Bad Reputation","Adelitas Way",125,7A,78,2017-04-13,03:02,0,"post-grunge","Getaway",2016-02-26,56,0,17,62,0,10,-6,D Minor,4,3BVZmnvtniy5fGQdKaQrhD,TCACK1513460,yes
82,"Shape of You","Solence",96,7A,93,2017-04-27,03:34,0,"","Shape of You",2017-02-21,52,0,0,61,0,30,-4,D Minor,4,4PHbF2kXE8tKsgvxEkNNzd,SE3OH1707147,no
83,"The Violence","Rise Against",184,3A,93,2017-06-07,03:48,0,"punk, hardcore punk","The Violence",2017-04-20,29,0,0,59,0,0,-2,A#/B♭ Minor,4,62ovcuwlrPHfLxueBGokp1,USUM71703493,no
84,"Help","Papa Roach",92,10B,92,2017-06-14,03:35,0,"nu metal, rap metal, alternative metal, rap rock, rock","Help",2017-02-17,51,0,0,28,0,30,-5,D Major,4,2arL1Kf2JBS7ms00JAz4w0,USDPK1700005,no
85,"Plowed","Sponge",105,2B,86,2017-08-03,03:24,38,"grunge, post-grunge","Hits and B Sides, Vol. 2",2011-12-25,36,0,95,35,0,0,-8,F#/G♭ Major,4,3u0AaJJk62n9bIKUIq5n4r,usx9p1142176,no
86,"Still Breathing","Green Day",75,3B,90,2017-08-03,03:44,66,"punk, pop punk","Revolution Radio",2016-10-07,54,1,0,69,0,0,-4,C♯/D♭ Major,4,19YmvsVCetCBeVj6O2mljR,USRE11600432,no
87,"Freeze Me","Death From Above 1979",130,8B,75,2017-08-03,03:18,0,"garage rock","Freeze Me",2017-06-06,50,0,0,46,0,10,-5,C Major,4,3PBXTtPiOqfYcbc30ydVTz,CAL451785502,no
88,"Song #3","Stone Sour",157,3B,94,2017-08-04,04:16,32,"post-grunge, alternative metal, nu metal","Song #3",2017-04-27,48,0,0,46,0,10,-5,C♯/D♭ Major,4,5pOw4EIHqmSY7SbZETFGAc,NLA321700079,no
89,"Wasting My Time","Default",148,10B,77,2017-09-25,04:28,40,"post-grunge","The Fallout",2001-01-01,44,0,0,17,0,0,-6,D Major,4,3nlT74t8h4XlV1D72pErhj,USTV10100094,no
90,"When I'm Gone","Dirty Honey",91,3B,92,2019-06-06,03:25,0,"","Dirty Honey",2019-03-22,45,0,0,59,0,10,-3,C♯/D♭ Major,4,3VZjogSj2XePaVubGgFOUo,QM4TX1945216,no
91,"Panic Attack","The Glorious Sons",152,4B,96,2024-06-11,03:08,0,"","Panic Attack",2019-06-05,46,0,0,61,0,10,-3,G#/A♭ Major,4,0Sq7plMRgBfE3f8tOneVo6,CABD61906401,no
92,"The Jester","Badflower",93,10B,83,2024-06-11,04:05,52,"post-grunge","OK, I'M SICK",2019-02-22,51,1,0,34,0,10,-6,D Major,4,28KccB3Iw5Gg8MjKewEQFW,USCJY1854018,yes
93,"Monsters (feat. blackbear)","All Time Low,blackbear",79,5A,85,2024-06-11,02:54,73,"pop punk, emo, punk, ","Wake Up, Sunshine",2020-04-03,37,5,0,78,0,40,-3,C Minor,4,0tyR7Bu9P086aWBFZ4QJoo,USAT22000034,yes
94,"Hallucinogenics","Matt Maeson",121,8B,65,2024-06-11,03:07,73,"","Bank On The Funeral",2019-04-05,55,46,0,29,0,10,-7,C Major,4,6bLU8e0LGyztE9iD5DWBQ1,USAT21801088,yes
